Created At: Month,Sum of TransactionCost ($),Sum of TransactionAmount,Count
"November, 2024",35.75,"3,014.76",41
"December, 2024",124.01,"10,448.29",83
"January, 2025",113.18,"9,543.40",41
"February, 2025",149.13,"12,576.64",45
"March, 2025",247.05,"21,251.85",102
"April, 2025",115.84,"12,341.20",64
"May, 2025",308.16,"30,399.51",89
"June, 2025",176.51,"16,911.11",58
"July, 2025",83.19,"7,640.64",30
"August, 2025",167,"23,730.19",35
"September, 2025",81.08,"8,151.91",16
"October, 2025",75.03,"8,544.93",19
"November, 2025",107.04,"12,533.93",26
"December, 2025",255.21,"26,119.80",275
"January, 2026",862.66,"79,189.81",942
"February, 2026","1,105.64","101,467.21",905
"March, 2026",26.02,"2,390.38",22